variant_label,sub_test_json,pair_group,left_scale,right_scale,item_id,item_text,left_anchor,right_anchor,left_choice_score,right_choice_score,score_maps_equal,suggested_direct_scale,suggested_reverse_scale,review_status
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,77,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,88,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,93,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,97,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,114,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,125,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,6,"모임에서 떠나려 할 때, 나는",그냥 말없이 떠날 것이다.,작별인사를 하는 데 많은 시간을 들일 것이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,44,내가 선호하는 업무환경은,내 주변 사람들과 함께 일하는 곳이다.,혼자서 일하는 곳이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,57,내가 살고 싶은 곳은,평화롭고 조용하며 많은 일들이 일어나지 않는 곳이다.,볼거리와 할 것들이 많은 곳이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,66,"관심 있는 스포츠를 관람할 때, 나는",다른 팬들과 함께 경기장에서 보는 것이 좋다.,텔레비전으로 집에서 보는 것이 좋다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,79,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,102,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,104,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,5,"나만의 정원을 꾸민다면, 내가 좋아하는 정원은",모든 것이 잘 정돈된 일반적인 정원이다.,이국적인 식물들이 있는 독특한 정원이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,26,"내가 집을 짓는다면,","실용적이고, 가격 대비 효용이 높으며, 검증된 방식으로 설계하고 싶다.",보기에 멋지게 설계하고 싶다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,72,나에게 더 중요한 것은,다른 사람들 사이에서 돋보이는 것이다.,다른 사람들과 어울리는 것이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,106,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,145,,관습적,변화적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,159,,미래지향적인,전통을 따르는,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S3,N3,164,,관습을 따르는,관습을 따르지 않는,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,11,내가 잘 알고 있는 분야는,"과학, 기술, 정치, 경제 분야이다.","예술, 문학, 음악, 인문 분야이다.","{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,58,내가 더 존경하고 동경하는 사람은,뛰어날 정도로 능력있는 사람이다.,진정성이 느껴지는 진실된 사람이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,76,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,91,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,105,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,136,,따뜻한,분석적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,142,,감정적,감정적이지 않은,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T3,F3,150,,객관적인,인간적인,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,3,휴가 중에 내가 더 많은 시간을 쓰고 싶은 것은,독서이다.,새로운 사람들을 만나는 것이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,15,"자동차나 버스에서 내 뒷자리에 있는 사람들이 대화할 때, 나는 대부분",조용히 다른 주제를 생각한다.,그 대화에 참여하고 싶어진다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,21,"많은 사람들이 주위에 있을 때, 나는",따뜻하게 환영받는 느낌이다.,불편하다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,41,나는 일반적으로 주말 저녁에,여러 사람들과 어울리는 모임에 나가거나 쇼핑하는 것을 즐긴다.,집에서 TV를 보거나 독서를 하며 조용히 저녁시간을 보낸다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,46,"나는 많은 사람들과 같이 있을 때,",즐겁다.,불편하다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,151,,활동적,생각이 깊은,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E4,I4,163,,참여적,성찰적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S4,N4,30,"비즈니스 차트나 그래프를 볼 때, 나는",주어진 사실 그 이상으로 생각하지 않으려고 조심한다.,대략적이라도 추이를 찾아 해석하려고 한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S4,N4,63,"문제를 해결할 때, 나는",전에 시도 해보지 않았던 새로운 생각을 한다.,기존의 방법을 적용하는 것을 좋아한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S4,N4,80,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S4,N4,84,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S4,N4,85,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T4,F4,8,"어떤 사람이 감정적일 경우,",그 감정은 비판받아야 한다.,그 감정도 이해되어야 한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T4,F4,19,"길을 함께 가던 일행이 내가 가자고 한 방향이 틀리다고 말하면,",내가 생각한 방향이 맞다고 일행을 설득하는 편이다.,일행의 입장에서 그들이 생각하는 방향으로 가는 편이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
